NPI,State
1982702338,NC
1912001389,PA
1083148274,FL
1699033373,TX
1548290042,KY
1720468119,MI
1780720219,FL
1386648970,OH
1295723385,PA
1619188042,WA
1164611513,TN
1346237344,OH
1215457478,NV
1376583575,CO
1497756852,IN
1134172141,IL
1356535678,TX
1295939866,TX
1497845309,NJ
1780905737,SC
1629418066,MS
1346655099,AZ
1568465748,MD
1306003942,PA
1487040036,MD
1023454410,AZ
1255326476,CA
1417973314,MD
1508931676,ND
1154543916,IL
1083805725,NC
1376538678,AZ
1932102480,AL
1700804853,IL
1871521625,NC
1336130525,CA
1750377255,FL
1063612638,TX
1891003745,TX
1417918517,OH
1871577056,CA
1306076716,CA
1992840128,MT
1801900188,TX
1033430293,CA
1437110541,IN
1154321156,NM
1376833905,AL
1972569036,AR
1871560862,NC
1477550184,TX
1689677155,SC
1972737567,CA
1649253444,MA
1831488915,TX
1902800642,OH
1942281134,MA
1518991678,ND
1194958959,CA
1831130111,TX
1174747059,NC
1407846389,OH
1760485627,TX
1669900031,MI
1467490086,AL
1588657837,VA
1295844934,IL
1922213107,PA
1275504524,CA
1558400291,IN
1316131865,WV
1346402872,RI
1073703757,AZ
1548794316,SD
1548499940,GA
1043473226,OH
1467711689,IL
1497758460,TX
1700017902,DE
1235107590,TX
1508869090,SC
1730409566,NV
1275596892,CT
1538168323,LA
1225080021,TN
1245288547,CA
1861424228,LA
1114941226,KS
1609190131,MI
1609212844,VA
1154387595,CA
1821004854,IL
1609860873,OK
1710997895,CA
1245522820,TX
1750393138,SC
1518951433,IA
1841527710,FL
1851394241,TN
1851512354,FL
1457454993,PA
1134104094,WA
1629496641,TX
1770572679,IL
1265603781,CO
1336301837,VA
1558624528,OH
1982702759,FL
1205807716,TX
1396744181,GA
1841302577,CA
1902917339,AL
1023128691,KS
1952351876,WI
1093709339,MI
1609801604,PA
1376553487,IN
1497105811,OR
1932581642,CA
1801885710,FL
1932555919,MO
1356452742,AL
1679730758,OH
1326048851,OH
1528047586,TN
1285675629,CA
1588637433,MI
1336124742,AL
1629036306,NJ
1437186251,CT
1255542767,FL
1558893057,OR
1861481152,MO
1770586075,NY
1851379812,RI
1053321026,NE
1316232556,NE
1356318547,KY
1184780330,CA
1336355973,OH
1861563827,CA
1396788493,CO
1245292143,PA
1689760670,TN
1336258433,FL
1073855243,NE
1942239272,TX
1225477748,FL
1023016656,NE
1467514265,CA
1922077106,WI
1023123643,TN
1073888244,VA
1194794958,MA
1326467515,NC
1225046238,TX
1982666871,CA
1619933363,AZ
1043673742,IN
1861494742,FL
1235124744,AZ
